class,MLP,CNN,ViT-AbsPos,ViT-Aug,ViT-MeanPool,HybridConv-ViT
T-shirt/top,0.07900000363588333,0.12700000405311584,0.18000000715255737,0.6809999942779541,0.656000018119812,0.8119999766349792
Trouser,0.0689999982714653,0.1469999998807907,0.14000000059604645,0.9330000281333923,0.9490000009536743,0.9670000076293945
Pullover,0.017000000923871994,0.09600000083446503,0.03400000184774399,0.6600000262260437,0.6809999942779541,0.8330000042915344
Dress,0.04500000178813934,0.04800000041723251,0.04100000113248825,0.7680000066757202,0.6850000023841858,0.8100000023841858
Coat,0.014999999664723873,0.019999999552965164,0.02800000086426735,0.5640000104904175,0.671999990940094,0.7549999952316284
Sandal,0.49000000953674316,0.4740000069141388,0.6779999732971191,0.8709999918937683,0.8840000033378601,0.9409999847412109
Shirt,0.16599999368190765,0.061000000685453415,0.10100000351667404,0.19099999964237213,0.1509999930858612,0.5870000123977661
Sneaker,0.10300000011920929,0.07500000298023224,0.14100000262260437,0.8700000047683716,0.8510000109672546,0.9660000205039978
Bag,0.3700000047683716,0.24400000274181366,0.5289999842643738,0.8859999775886536,0.8759999871253967,0.9779999852180481
Ankle boot,0.039000000804662704,0.0729999989271164,0.20399999618530273,0.8629999756813049,0.8870000243186951,0.9290000200271606
